area_level,area_level_label,area_id,area_name,sex,indicator,indicator_label,mean,se,median,mode,lower,upper
3,District,MWI_3_07,Kasungu,female,plhiv,PLHIV,12522.3561218802,918.832541396839,12449.9829687933,12476.7179955343,10807.3756008523,14418.008305876
3,District,MWI_3_07,Kasungu,male,plhiv,PLHIV,8454.96213686699,628.042659846144,8426.17644618053,8412.71389289074,7260.70855725613,9758.88017706051
3,District,MWI_3_07,Kasungu,both,unaware_plhiv_num,Number PLHIV unaware,1235.31064462833,251.824661002959,1210.07266163428,1198.13069878556,804.181848298539,1783.50896043026
3,District,MWI_3_07,Kasungu,female,unaware_plhiv_num,Number PLHIV unaware,325.434886977675,66.5101600078342,319.637088525769,315.748614232595,213.448705703444,467.546170173899
3,District,MWI_3_07,Kasungu,male,unaware_plhiv_num,Number PLHIV unaware,909.87575765066,190.822297198068,890.791967597214,882.007589227449,590.10332644136,1317.35619976308
3,District,MWI_3_07,Kasungu,both,aware_plhiv_num,Number PLHIV aware,19742.0076141188,1430.46410711063,19628.7718696938,19705.2143833559,17101.7024422379,22682.7944349678
3,District,MWI_3_07,Kasungu,female,aware_plhiv_num,Number PLHIV aware,12196.9212349025,890.649264203847,12141.9937700325,12180.3121550081,10523.5235718994,14039.3641097894
3,District,MWI_3_07,Kasungu,male,aware_plhiv_num,Number PLHIV aware,7545.08637921632,545.929293955141,7494.29100515819,7524.81006302432,6547.60192160406,8700.6734533468
3,District,MWI_3_08,Nkhotakota,both,plhiv,PLHIV,14018.9824765758,1163.02537320848,13974.0393923223,13940.2461793958,11940.8580918502,16459.6243180217
3,District,MWI_3_08,Nkhotakota,female,plhiv,PLHIV,8320.48098056853,690.51321665278,8288.58941285502,8279.81552634496,7086.94015445554,9755.99231289835
3,District,MWI_3_08,Nkhotakota,male,plhiv,PLHIV,5698.50149600722,479.112920021692,5673.52220440346,5659.81551170926,4857.05492272138,6678.1494784504
3,District,MWI_3_08,Nkhotakota,both,unaware_plhiv_num,Number PLHIV unaware,952.660478038653,205.119695805984,932.2963178711,919.016503478209,613.246029908208,1413.87899559834
3,District,MWI_3_08,Nkhotakota,female,unaware_plhiv_num,Number PLHIV unaware,262.402848407183,57.1064496275757,257.790041483524,253.205948761019,170.369378134711,394.549498710317
3,District,MWI_3_08,Nkhotakota,male,unaware_plhiv_num,Number PLHIV unaware,690.25762963147,150.459792629969,677.372796418758,665.591860932409,439.026862096091,1022.81993113349
3,District,MWI_3_08,Nkhotakota,both,aware_plhiv_num,Number PLHIV aware,13066.3219985371,1058.2150478634,13025.8417337397,13032.620152665,11165.6985503813,15171.1381545507
3,District,MWI_3_08,Nkhotakota,female,aware_plhiv_num,Number PLHIV aware,8058.07813216135,656.759566044615,8049.57915945592,8043.27373521052,6864.7634277712305,9412.60037169951
3,District,MWI_3_08,Nkhotakota,male,aware_plhiv_num,Number PLHIV aware,5008.24386637576,406.448846962785,4995.56512016193,4989.33321579657,4274.37715777969,5837.83595313877
3,District,MWI_3_09,Ntchisi,both,plhiv,PLHIV,5254.12379885594,497.664312881443,5249.38295048504,5203.77375179753,4293.68555394636,6233.45330348201
3,District,MWI_3_09,Ntchisi,female,plhiv,PLHIV,3092.12085703829,295.008656035386,3088.42631907862,3064.98837611504,2520.47014401041,3660.61424196192
3,District,MWI_3_09,Ntchisi,male,plhiv,PLHIV,2162.00294181765,206.426626708444,2161.40910045343,2138.5148116664,1757.6131377774,2553.49661131064
3,District,MWI_3_09,Ntchisi,both,unaware_plhiv_num,Number PLHIV unaware,320.575145649094,71.6489254089729,310.978991818869,308.37876932192,205.485803070062,486.326330116723
3,District,MWI_3_09,Ntchisi,female,unaware_plhiv_num,Number PLHIV unaware,84.9301702472733,19.115821278913,82.5022536090895,81.7113819274232,54.2006389228363,128.449918907405
3,District,MWI_3_09,Ntchisi,male,unaware_plhiv_num,Number PLHIV unaware,235.644975401821,53.6898183484499,228.433447073098,226.62752398728,151.043070324883,357.928015330715
3,District,MWI_3_09,Ntchisi,both,aware_plhiv_num,Number PLHIV aware,4933.54865320684,465.026035862898,4926.0683412157,4898.83665270375,4008.42998758572,5810.05356175486
3,District,MWI_3_09,Ntchisi,female,aware_plhiv_num,Number PLHIV aware,3007.19068679101,286.951699937364,3003.69517084052,2988.49917603343,2439.79328649165,3555.13708757405
3,District,MWI_3_09,Ntchisi,male,aware_plhiv_num,Number PLHIV aware,1926.35796641583,181.347888320491,1924.64020807911,1910.2899292563,1559.81069419162,2261.36672580682
3,District,MWI_3_10,Dowa,both,plhiv,PLHIV,16305.8683906657,1476.66505779221,16257.1227176836,16159.5398825642,13492.7345417064,19336.0584760574
3,District,MWI_3_10,Dowa,female,plhiv,PLHIV,9541.77659057438,868.094130605111,9503.61472208002,9462.59217252622,7906.59370099971,11309.9654526656
3,District,MWI_3_10,Dowa,male,plhiv,PLHIV,6764.09180009133,615.413684725057,6750.25756447924,6696.2533983723,5572.74144274791,8044.00383332397
3,District,MWI_3_10,Dowa,both,unaware_plhiv_num,Number PLHIV unaware,1231.27375495637,255.356281476942,1199.90772925965,1184.58569579875,794.834555684446,1812.26462051168
3,District,MWI_3_10,Dowa,female,unaware_plhiv_num,Number PLHIV unaware,323.673866086947,68.3734770330592,314.718925927086,311.162216905421,210.49015710504,473.556845429075
3,District,MWI_3_10,Dowa,male,unaware_plhiv_num,Number PLHIV unaware,907.599888869422,188.897263746756,888.020080561762,874.198212880233,577.401543852087,1314.79741001096
3,District,MWI_3_10,Dowa,both,aware_plhiv_num,Number PLHIV aware,15074.5946357093,1357.77016722122,15029.481639549,14989.2605587874,12564.1292541104,17848.310520103
3,District,MWI_3_10,Dowa,female,aware_plhiv_num,Number PLHIV aware,9218.10272448743,839.1229426867,9189.06501233323,9173.20745861114,7663.69062698874,10946.1812645843
3,District,MWI_3_10,Dowa,male,aware_plhiv_num,Number PLHIV aware,5856.49191122191,523.715477912028,5831.1293935249,5816.08005114483,4867.04387884298,6921.48478550104
3,District,MWI_3_11,Salima,both,plhiv,PLHIV,20261.9802852649,1352.96666927448,20195.042222546,20068.7582878138,17799.0872926356,22991.0098143564
3,District,MWI_3_11,Salima,female,plhiv,PLHIV,12680.5758053538,831.961782463399,12642.154646111,12567.3092802212,11168.9597608122,14353.0114514913
3,District,MWI_3_11,Salima,male,plhiv,PLHIV,7581.40447991114,529.697766258839,7548.83330556544,7500.69254934243,6646.68885438134,8664.19761780066
3,District,MWI_3_11,Salima,both,unaware_plhiv_num,Number PLHIV unaware,1072.12741175557,216.990163122805,1062.36981191364,1032.57496693832,716.790059646907,1532.57866705546
3,District,MWI_3_11,Salima,female,unaware_plhiv_num,Number PLHIV unaware,309.759955162218,63.0074486412741,305.482775088306,298.47503761645,204.579672943574,442.878106077495
3,District,MWI_3_11,Salima,male,unaware_plhiv_num,Number PLHIV unaware,762.367456593355,157.674940375502,752.821924709084,733.626907339513,497.438176533554,1097.08250360245
3,District,MWI_3_11,Salima,both,aware_plhiv_num,Number PLHIV aware,19189.8528735094,1243.94484801282,19154.2082554524,19049.5836338575,16912.6799325072,21597.0291398417
3,District,MWI_3_11,Salima,female,aware_plhiv_num,Number PLHIV aware,12370.8158501916,792.743451426593,12347.5805557298,12287.5109548816,10913.0804390745,13927.4013166845
3,District,MWI_3_11,Salima,male,aware_plhiv_num,Number PLHIV aware,6819.03702331778,457.092202805938,6794.17129444519,6761.95219426956,5988.24205555263,7740.88877728461
3,District,MWI_3_12,Lilongwe,both,plhiv,PLHIV,132500.545096684,2995.50418442725,132488.086967345,131996.668216176,126640.376417032,138427.572362375
3,District,MWI_3_12,Lilongwe,female,plhiv,PLHIV,78125.0707285006,1690.48994662548,78139.1414326806,77873.129334633,74802.1821935499,81422.3203186143
3,District,MWI_3_12,Lilongwe,male,plhiv,PLHIV,54375.4743681835,1373.86990267408,54360.5021030856,54119.2215187452,51812.7011193364,57019.6070894713
3,District,MWI_3_12,Lilongwe,both,unaware_plhiv_num,Number PLHIV unaware,8585.52426984257,1282.75389076552,8502.9694945785,8313.75422775879,6303.40985309499,11085.051292072
3,District,MWI_3_12,Lilongwe,female,unaware_plhiv_num,Number PLHIV unaware,2164.9779530584,321.97996401115,2144.08622322405,2098.02220466572,1599.09570469687,2805.27626817494
3,District,MWI_3_12,Lilongwe,male,unaware_plhiv_num,Number PLHIV unaware,6420.54631678417,1001.56409879238,6365.30386881955,6210.05376262302,4657.62326253231,8459.54641767786
3,District,MWI_3_12,Lilongwe,both,aware_plhiv_num,Number PLHIV aware,123915.020826842,2231.58485446389,123859.006991063,123784.410833158,119628.410760209,128300.832899803
3,District,MWI_3_12,Lilongwe,female,aware_plhiv_num,Number PLHIV aware,75960.0927754422,1406.01375012239,75976.7326854086,75921.5831567589,73332.3015581018,78774.3544429663
3,District,MWI_3_12,Lilongwe,male,aware_plhiv_num,Number PLHIV aware,47954.9280513993,875.392879841535,47938.4439613253,47863.0294946613,46279.4040582917,49686.6117854077
3,District,MWI_3_13,Mchinji,both,plhiv,PLHIV,20692.9824226351,1180.94434779095,20658.9995674799,20580.0041311886,18529.3048245386,23199.4637913276
